date,state,district,total_enrolments,total_demo_updates,total_bio_updates,total_updates,update_to_enrolment_ratio,biometric_stress_index,demographic_volatility_index,aadhaar_fragility_index,fragility_category
2025-02-11,Uttar Pradesh,Kasganj,80.0,106.0,521.0,627.0,783.75,12.07014809000754,0.1739172797100278,3.6854863552532944,Low
2025-02-12,Bihar,Gopalganj,0.0,1154.0,689.0,1843.0,,11.470086218494792,0.4241362054473185,3.5470599169102672,Low
2025-10-11,Punjab,Malerkotla,10.0,43.0,61.0,104.0,1040.0,15.215619851107576,0.2028680278697855,4.643219373982612,Low
2025-01-03,Madhya Pradesh,Narmadapuram,0.0,680.0,853.0,1533.0,,14.506751185312131,0.6666482080082363,4.518687407595698,Low
2025-08-11,Chandigarh,Mohali,0.0,0.0,1.0,1.0,,20.003736641506613,,,
2025-01-07,Andhra Pradesh,Medak,0.0,0.0,2470.0,2470.0,,13.304678350739714,,,
2025-07-11,Maharashtra,Ratnagiri,46.0,696.0,1140.0,1836.0,3991.304347826087,15.214331603418032,0.1650337853443505,4.712311547448853,Low
2025-05-11,Telangana,Mahabubnagar,103.0,508.0,431.0,939.0,911.6504854368932,14.436606817200088,0.2914844492982582,4.4282366624978815,Low
2025-08-12,Tamil Nadu,The Nilgiris,0.0,133.0,386.0,519.0,,13.177779543256184,0.186872677775495,4.0000520324207285,Low
2025-01-07,Telangana,Mahabubnagar,0.0,3508.0,27656.0,31164.0,,12.227101789543472,7.0295658643360746,5.42552200294706,Low
2025-01-04,Uttar Pradesh,Ghazipur,0.0,0.0,21531.0,21531.0,,13.879369922457103,,,
2025-01-09,Meghalaya,South Garo Hills,57.0,36.0,6.0,42.0,73.68421052631578,15.055948753365264,0.1123505660773719,4.546843065927507,Low
2025-09-11,Madhya Pradesh,Rewa,149.0,196.0,561.0,757.0,508.0536912751678,11.56181369655456,0.1209526703502854,3.512370959855404,Low
2025-05-12,Karnataka,Raichur,0.0,232.0,940.0,1172.0,,11.705936603800518,0.10248722364296,3.5374027870508957,Low
2025-11-12,Andhra Pradesh,Nandyal,0.0,110.0,74.0,184.0,,15.983068538510151,0.2482589951057173,4.856985310329475,Low
2025-04-11,West Bengal,Cooch Behar,4.0,1518.0,261.0,1779.0,44475.0,14.100012428982698,0.5165749835090424,5.548700272261168,Low
2025-09-11,Delhi,South Delhi,138.0,381.0,641.0,1022.0,740.5797101449275,12.777547327746296,0.2872500230952603,3.92488465611827,Low
2025-01-09,Himachal Pradesh,Sirmaur,1.0,100.0,63.0,163.0,16300.0,16.23162028378438,0.2638972782996768,5.3714291647401895,Low
2025-07-12,Assam,Jorhat,0.0,67.0,52.0,119.0,,16.437441799105727,0.1263943492053481,4.962831127033055,Low
2025-01-07,Jharkhand,East Singhbum,1447.0,0.0,0.0,0.0,0.0,,,,
2025-10-12,Orissa,Anugul,0.0,2.0,2.0,4.0,,20.003736641506613,0.0035414945106835,6.002006366079655,Low
2025-03-11,Tripura,Dhalai  *,0.0,4.0,1.0,5.0,,20.07764859396412,0.0742848346059706,6.041865786840729,Low
2025-04-09,Andhra Pradesh,Palnadu,10.0,111.0,33.0,144.0,1440.0,18.84407978697969,0.1799472087331254,5.736725769838117,Low
2025-01-04,Uttar Pradesh,Pilibhit,878.0,5673.0,18835.0,24508.0,2791.343963553531,20.373973257817536,20.700994967198543,11.362099539182168,Low
2025-01-06,Kerala,Malappuram,0.0,0.0,28888.0,28888.0,,11.54075650631145,,,
2025-01-06,Chhattisgarh,Mahasamund,0.0,43557.0,17629.0,61186.0,,22.5351340667036,51.62347665280753,19.666409383212965,Low
2025-03-09,Orissa,Anugul,0.0,1.0,3.0,4.0,,20.01109844818569,0.064249554674342,6.019391923124293,Low
2025-06-12,Odisha,Kalahandi,0.0,241.0,416.0,657.0,,11.62629431023777,0.3996914791277933,3.587811162853279,Low
2025-06-12,Maharashtra,Sangli,0.0,459.0,1409.0,1868.0,,13.0254684073757,0.306318566841196,3.9842201639230086,Low
2025-01-06,Uttar Pradesh,Jaunpur,0.0,0.0,14700.0,14700.0,,11.76763514897504,,,
2025-01-03,Rajasthan,Baran,0.0,28203.0,8352.0,36555.0,,12.80668361292129,7.834971802076312,5.800748034395465,Low
2025-05-11,Punjab,Sangrur,29.0,90.0,150.0,240.0,827.5862068965517,13.130959630713807,0.1385108832852143,3.996050685645175,Low
2025-11-09,Kerala,Kollam,90.0,494.0,684.0,1178.0,1308.888888888889,13.991801970234798,0.1568452344245418,4.271760161388591,Low
2025-01-06,Madhya Pradesh,Betul,0.0,2966.0,25036.0,28002.0,,15.381251396785558,2.682549884146788,5.285012890072364,Low
2025-02-09,West Bengal,Darjeeling,71.0,395.0,220.0,615.0,866.1971830985916,14.774091866979107,0.2600786827082625,4.52041501677429,Low
2025-11-09,Karnataka,Tumkur,37.0,261.0,331.0,592.0,1600.0,15.121065890764138,0.1203426218138891,4.609199902194856,Low
